,Noise Type,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
23,Noise,29.62109580127347,29.72509221639719,0.714143640041679,0.724165998452092,0.9695793243410249,0.724165998452092,0.8213044014023723,0.825130155310913,0.8849503134020816,0.8877639334106204,0.9872910089291573,0.9861491065914055,4.385797075305136,4.4245671749307425
24,Overexposure,27.593326565734976,29.74443091509203,0.7553392098532112,0.7475629625806411,0.6983712605779313,0.7475629625806411,0.521030519289671,0.5399020546660817,0.6758739991837959,0.6089134341527358,0.9576750174025381,0.9516779277224794,2.4286817955932527,2.105535979900726
25,Overexposure,28.78716855478534,30.168966768395524,0.7365362434257858,0.6852203085459676,0.5868307979565078,0.6852203085459676,0.09235360734258358,0.48077053054100594,0.38629866916834493,0.6064169184921346,0.9560819840718657,0.9600103218603402,3.1455886217267723,2.218054374956155
26,Overexposure,27.741269129114734,30.909267457812586,0.6542701528918354,0.725284550802286,0.845574703287529,0.725284550802286,0.30548750146937853,0.42383315933308535,0.49363564872140636,0.5337377209680525,0.9537848464632315,0.9469471168475155,2.8383879179025757,1.8355327333621438
27,Overexposure,27.748166527966546,31.193935770865842,0.5762704533504136,0.6833619003871062,0.7490772773418006,0.6833619003871062,0.21646038908754167,0.38529600717964785,0.33147224540472675,0.4747725359118687,0.9495632431290962,0.9493086294152504,2.6902228648368913,2.160220277450159
28,Overexposure,27.641575089371564,31.748556474221004,0.7226586025426606,0.824783848763538,0.8406736339953158,0.824783848763538,0.28684615907780636,0.5867855520454586,0.45860895660566414,0.6531183090265167,0.9651164667412673,0.9563179606820645,2.79569090114771,1.953073589557261
29,Overexposure,27.449267847704807,28.341732174581438,0.6867381110195437,0.7508814861404643,0.5452879764488976,0.7508814861404643,0.17610939928115504,0.3620319991707175,0.3998645000080269,0.5533413782116177,0.9515772591588614,0.9595506808601154,3.5431254611233296,2.9781984845783844
30,Overexposure,27.88349783305078,30.800249154545646,0.7128477353279861,0.77864689213479,0.7415531378575596,0.77864689213479,0.4068189391538324,0.4596000531491303,0.553390960685338,0.5433482873262534,0.9581262216930788,0.949368299536991,2.4551532507437885,1.769958073234885
31,Overexposure,27.790435676534003,30.480779301079828,0.673300956940704,0.7301528613606115,0.7953835067591942,0.7301528613606115,0.2863562481592294,0.3608570074946554,0.4692347435821336,0.49801131911940877,0.9544035868816744,0.9506845113190058,2.6504197769339353,1.671177249759588
32,Overexposure,27.594556959855126,30.72688875835851,0.6557048495520581,0.7441175064736907,0.8260794793196109,0.7441175064736907,0.39925929899386986,0.4332885165921587,0.54847717028225,0.5499917966562111,0.9568926145975939,0.9527548459022654,2.338328666533183,2.1305842644964263
